date,region,sub_brand,base_contribution
2023-01-01,national,dovato,8746.33696070054
2023-01-08,national,dovato,13454.47234671846
2023-01-15,national,dovato,8725.830339546723
2023-01-22,national,dovato,4003.4231919949434
2023-02-05,national,dovato,7487.8307113475275
2023-02-12,national,dovato,11843.549403913075
2023-02-19,national,dovato,7498.9968580856585
2023-02-26,national,dovato,3160.655058453165
2023-03-05,national,dovato,14530.121487616347
2023-03-12,national,dovato,20985.643756321988
2023-03-19,national,dovato,14521.961441525269
2023-03-26,national,dovato,8064.409719228395
2023-04-02,national,dovato,13735.285598089546
2023-04-09,national,dovato,19956.923904929787
2023-04-16,national,dovato,13730.861057696646
2023-04-23,national,dovato,7510.522724259297
2023-05-07,national,dovato,18170.02337654637
2023-05-14,national,dovato,25723.34562968346
2023-05-21,national,dovato,18173.735835426087
2023-05-28,national,dovato,10631.182250730813
2023-06-04,national,dovato,11196.535328743448
2023-06-11,national,dovato,16649.94653037173
2023-06-18,national,dovato,11187.253790570376
2023-06-25,national,dovato,5731.105309860795
2023-07-02,national,dovato,21825.016475740227
2023-07-09,national,dovato,30474.112819514175
2023-07-16,national,dovato,21820.626159601492
2023-07-23,national,dovato,13172.566954887856
2023-08-06,national,dovato,8752.252955851818
2023-08-13,national,dovato,13479.882652045133
2023-08-20,national,dovato,8752.426663460901
2023-08-27,national,dovato,4031.4916125849104
2023-09-03,national,dovato,21448.46715596873
2023-09-10,national,dovato,29978.43869769271
2023-09-17,national,dovato,21445.97561141366
2023-09-24,national,dovato,12921.364963891068
2023-10-01,national,dovato,22248.062137266388
2023-10-08,national,dovato,31015.07000827826
2023-10-15,national,dovato,22238.765201383783
2023-10-22,national,dovato,13469.593294359413
2023-11-05,national,dovato,9924.071402531026
2023-11-12,national,dovato,14999.338864608206
2023-11-19,national,dovato,9917.51026847912
2023-11-26,national,dovato,4841.798707762569
2023-12-03,national,dovato,12804.51056956952
2023-12-10,national,dovato,18748.36862167968
2023-12-17,national,dovato,12807.532021974486
2023-12-24,national,dovato,6873.475948952348
2024-01-07,national,dovato,22721.487744729446
2024-01-14,national,dovato,31637.968408407138
2024-01-21,national,dovato,22716.532061468977
2024-01-28,national,dovato,13800.67425599496
2024-02-04,national,dovato,21190.774835557622
2024-02-11,national,dovato,29651.03518324918
2024-02-18,national,dovato,21190.24791178188
2024-02-25,national,dovato,12735.5238394028
2024-03-03,national,dovato,17731.381635999664
2024-03-10,national,dovato,25149.778453836567
2024-03-17,national,dovato,17725.527401879597
2024-03-24,national,dovato,10307.277921053756
2024-04-07,national,dovato,12444.950215052744
2024-04-14,national,dovato,18279.94845310842
2024-04-21,national,dovato,12438.88195642875
2024-04-28,national,dovato,6602.925183058071
2024-05-05,national,dovato,12332.138794992206
2024-05-12,national,dovato,18164.192849871528
2024-05-19,national,dovato,12431.355175994042
2024-05-26,national,dovato,6771.837888932087
2024-06-02,national,dovato,7561.67305846891
2024-06-09,national,dovato,11943.824984560542
2024-06-16,national,dovato,7873.961190306469
2024-06-23,national,dovato,3875.3181555504343
2024-07-07,national,dovato,11035.575154040427
2024-07-14,national,dovato,16035.242331011694
2024-07-21,national,dovato,10949.854651465428
2024-07-28,national,dovato,5987.620002730269
2024-08-04,national,dovato,7178.053648316287
2024-08-11,national,dovato,11142.863334305144
2024-08-18,national,dovato,7089.309395232409
2024-08-25,national,dovato,3115.238561988346
2024-09-01,national,dovato,9311.787485965546
2024-09-08,national,dovato,14103.419256739111
2024-09-15,national,dovato,9270.875080815105
2024-09-22,national,dovato,4470.753008982536
2024-10-06,national,dovato,7733.077869932247
2024-10-13,national,dovato,12157.208741639311
2024-10-20,national,dovato,7725.062258919392
2024-10-27,national,dovato,3296.25590019461
2024-11-03,national,dovato,17560.613777316805
2024-11-10,national,dovato,24942.072437248615
2024-11-17,national,dovato,17566.46053502124
2024-11-24,national,dovato,10194.94017340757
2024-12-01,national,dovato,6943.406255053655
2024-12-08,national,dovato,11131.73386503513
2024-12-15,national,dovato,6937.634035057959
2024-12-22,national,dovato,2747.329953286895
2025-01-05,national,dovato,18531.25294233588
2025-01-12,national,dovato,26200.30710982844
2025-01-19,national,dovato,18527.709016126166
2025-01-26,national,dovato,10858.043433314135
2025-02-02,national,dovato,12500.800279175426
2025-02-09,national,dovato,18362.141135663045
2025-02-16,national,dovato,12500.08694078504
2025-02-23,national,dovato,6641.379137718543
2025-03-02,national,dovato,11383.807690972852
2025-03-09,national,dovato,16907.937124597654
2025-03-16,national,dovato,11381.357299949894
2025-03-23,national,dovato,5858.307825226455
2025-04-06,national,dovato,12949.41990627745
2025-04-13,national,dovato,18942.820032658077
2025-04-20,national,dovato,12947.289777245798
2025-04-27,national,dovato,6955.582623134642
2025-05-04,national,dovato,10213.828548776883
2025-05-11,national,dovato,15385.910510351257
2025-05-18,national,dovato,10210.925734611377
2025-05-25,national,dovato,5039.756277375704
2025-06-01,national,dovato,6803.30551541794
2025-06-08,national,dovato,10952.212195766806
2025-06-15,national,dovato,6801.720336155649
2025-06-22,national,dovato,2655.430575579341
2025-07-06,national,dovato,9529.874219001487
2025-07-13,national,dovato,14496.37124884966
2025-07-20,national,dovato,9525.692059731222
2025-07-27,national,dovato,4558.558812024399
2025-08-03,national,dovato,7425.8148418643505
2025-08-10,national,dovato,11763.63974829578
2025-08-17,national,dovato,7423.691346624284
2025-08-24,national,dovato,3086.975947600493
2025-09-07,national,dovato,18144.790069738236
2025-09-14,national,dovato,25698.088855076734
2025-09-21,national,dovato,18145.99264493475
2025-09-28,national,dovato,10598.16027810424
